                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.36498,                0.41939,                0.37752,                0.81156,                0.74386,                0.78518,                0.90877,                0.83664,                0.74386,                0.78518,                0.91031,                0.68754,                 0.3821,                0.81169,                0.88423,                0.81487,             0.00018406,             0.00018406,             0.00018406
                     91,                0.41732,                0.59973,                0.45113,                0.79636,                0.75086,                0.78491,                0.90591,                 0.8302,                0.75086,                0.78491,                0.90745,                0.68485,                0.38165,                0.82541,                0.86208,                0.81532,             0.00016991,             0.00016991,             0.00016991
                     92,                0.42203,                 0.5184,                0.37664,                0.80306,                0.85481,                0.84155,                0.89148,                0.81467,                0.85481,                0.84155,                0.89341,                0.65395,                0.39819,                0.78486,                0.69753,                0.82269,             0.00015576,             0.00015576,             0.00015576
                     93,                0.39849,                0.48271,                0.38316,                0.81262,                0.86719,                0.86113,                0.89419,                0.81242,                0.86719,                0.86113,                0.89624,                0.66446,                0.39829,                0.75465,                0.65121,                0.82108,             0.00014161,             0.00014161,             0.00014161
                     94,                0.38839,                0.46561,                0.38954,                0.81011,                0.90566,                0.84217,                0.89638,                0.81923,                0.90566,                0.84217,                0.89837,                0.66195,                0.39818,                0.74299,                0.61012,                0.82155,             0.00012747,             0.00012747,             0.00012747
                     95,                0.38423,                0.49566,                0.37781,                0.80409,                0.90845,                0.84825,                0.90303,                0.82494,                0.90845,                0.84825,                0.90505,                0.66855,                 0.3945,                0.73309,                0.58813,                0.82117,             0.00011332,             0.00011332,             0.00011332
                     96,                0.40132,                 0.4846,                0.41081,                0.80998,                0.90282,                0.86947,                0.90559,                0.83353,                0.90282,                0.86947,                0.91102,                0.67207,                0.38251,                0.72747,                0.55839,                0.82129,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 0.3885,                0.44825,                0.38787,                0.81133,                0.89032,                0.88346,                0.90978,                0.83569,                0.89032,                0.88346,                0.91514,                0.68201,                0.37437,                0.69031,                0.55043,                0.82101,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.38732,                0.42989,                0.37095,                0.79646,                 0.8869,                0.89499,                0.91195,                0.84083,                 0.8869,                0.89499,                0.91726,                0.68797,                 0.3739,                   0.71,                0.54665,                0.82138,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.36017,                0.43659,                0.39923,                 0.7984,                0.90796,                0.86627,                0.91399,                0.84387,                0.90796,                0.86627,                0.91918,                0.68285,                0.37622,                0.70937,                0.54394,                0.82125,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.36487,                0.40948,                0.35098,                0.82049,                0.86761,                0.88876,                0.91344,                0.84017,                0.86761,                0.88876,                0.91856,                0.68975,                0.37869,                0.70604,                0.54976,                0.82117,             4.2584e-05,             4.2584e-05,             4.2584e-05
